date,team,points,mp
3/23/2014,Newcastle Utd,46,30
3/23/2014,Southampton,45,30
3/23/2014,Aston Villa,34,29
3/23/2014,Stoke City,34,30
3/23/2014,Hull City,33,30
3/23/2014,Norwich City,32,31
3/23/2014,West Ham,31,30
3/23/2014,Swansea City,29,30
3/23/2014,West Brom,28,30
3/23/2014,Crystal Palace,28,30
3/23/2014,Sunderland,25,28
3/23/2014,Cardiff City,25,31
3/23/2014,Fulham,24,31
3/25/2014,Chelsea,69,31
3/25/2014,Liverpool,65,30
3/25/2014,Manchester City,63,28
3/25/2014,Arsenal,62,30
3/25/2014,Tottenham,56,31
3/25/2014,Everton,54,29
3/25/2014,Manchester Utd,51,30
3/25/2014,Newcastle Utd,46,30
3/25/2014,Southampton,45,31
3/25/2014,Stoke City,37,31
3/25/2014,Aston Villa,34,30
3/25/2014,Hull City,33,30
3/25/2014,Norwich City,32,31
3/25/2014,West Ham,31,30
3/25/2014,Swansea City,29,30
3/25/2014,West Brom,28,30
3/25/2014,Crystal Palace,28,30
3/25/2014,Sunderland,25,28
3/25/2014,Cardiff City,25,31
3/25/2014,Fulham,24,31
3/26/2014,Chelsea,69,31
3/26/2014,Manchester City,66,29
3/26/2014,Liverpool,65,30
3/26/2014,Arsenal,63,31
3/26/2014,Everton,57,30
3/26/2014,Tottenham,56,31
3/26/2014,Manchester Utd,51,31
3/26/2014,Newcastle Utd,46,31
3/26/2014,Southampton,45,31
3/26/2014,Stoke City,37,31
3/26/2014,Aston Villa,34,30
3/26/2014,Hull City,33,30
3/26/2014,Norwich City,32,31
3/26/2014,West Ham,31,30
3/26/2014,Swansea City,30,31
3/26/2014,West Brom,28,30
3/26/2014,Crystal Palace,28,30
3/26/2014,Sunderland,25,28
3/26/2014,Cardiff City,25,31
3/26/2014,Fulham,24,31
